epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,adaptor_loss_ssim,adaptor_loss_psnr,adaptor_loss_ber,duration
181,0.0490,0.0085,0.0875,0.0979,9.6252,0.0023,0.0021,0.1079,99.4617,0.2297,240
182,0.0486,0.0082,0.0870,0.0974,9.8005,0.0021,0.0018,0.1064,99.4589,0.2287,241
183,0.0487,0.0083,0.0869,0.0980,10.7332,0.0006,0.0008,0.1073,99.4592,0.2287,240
184,0.0491,0.0085,0.0874,0.0984,10.8326,0.0001,0.0001,0.1091,99.4609,0.2292,242
185,0.0488,0.0081,0.0874,0.0976,11.1477,0.0001,0.0001,0.1044,99.4572,0.2292,239
186,0.0487,0.0082,0.0870,0.0969,11.3538,0.0001,0.0001,0.1076,99.4585,0.2285,239
187,0.0484,0.0080,0.0869,0.0976,9.5871,0.0067,0.0102,0.1043,99.4570,0.2282,239
188,0.0484,0.0081,0.0867,0.0977,9.9158,0.0011,0.0017,0.1065,99.4575,0.2278,239
189,0.0484,0.0080,0.0866,0.0964,10.7069,0.0003,0.0002,0.1045,99.4564,0.2279,238
190,0.0484,0.0080,0.0868,0.0967,10.3164,0.0004,0.0004,0.1059,99.4565,0.2281,240
191,0.0483,0.0078,0.0867,0.0971,10.1472,0.0040,0.0048,0.1040,99.4546,0.2279,240
192,0.0482,0.0079,0.0865,0.0970,10.0621,0.0038,0.0034,0.1047,99.4551,0.2279,239
193,0.0484,0.0081,0.0866,0.0969,10.6025,0.0001,0.0003,0.1055,99.4568,0.2276,239
194,0.0481,0.0079,0.0861,0.0962,10.5353,0.0003,0.0004,0.1049,99.4558,0.2270,239
195,0.0480,0.0079,0.0860,0.0968,10.7458,0.0002,0.0002,0.1047,99.4547,0.2265,239
196,0.0478,0.0078,0.0858,0.0963,9.8494,0.0074,0.0049,0.1039,99.4537,0.2265,238
197,0.0480,0.0078,0.0861,0.0960,10.2136,0.0006,0.0007,0.1040,99.4541,0.2267,239
198,0.0480,0.0078,0.0860,0.0967,10.7653,0.0039,0.0015,0.1042,99.4537,0.2264,239
199,0.0474,0.0077,0.0852,0.0951,9.4339,0.0005,0.0011,0.1034,99.4535,0.2251,238
200,0.0481,0.0078,0.0864,0.0969,9.8549,0.0012,0.0012,0.1038,99.4537,0.2274,240
201,0.0477,0.0076,0.0856,0.0962,10.8554,0.0002,0.0004,0.1028,99.4521,0.2257,491
202,0.0479,0.0079,0.0857,0.0959,11.0370,0.0001,0.0001,0.1056,99.4542,0.2258,236
203,0.0476,0.0077,0.0853,0.0953,11.3197,0.0003,0.0002,0.1043,99.4529,0.2251,236
204,0.0478,0.0074,0.0860,0.0973,10.3648,0.0092,0.0110,0.1012,99.4501,0.2261,235
205,0.0474,0.0075,0.0852,0.0958,10.5340,0.0024,0.0012,0.1016,99.4506,0.2250,235
206,0.0475,0.0077,0.0851,0.0948,10.7275,0.0005,0.0003,0.1039,99.4524,0.2246,234
207,0.0472,0.0075,0.0845,0.0945,11.4139,0.0004,0.0006,0.1022,99.4512,0.2240,236
208,0.0472,0.0073,0.0848,0.0944,10.9780,0.0001,0.0001,0.0999,99.4491,0.2239,234
209,0.0473,0.0075,0.0848,0.0955,11.5271,0.0000,0.0001,0.1020,99.4508,0.2239,236
210,0.0472,0.0075,0.0847,0.0949,11.1581,0.0033,0.0029,0.1014,99.4498,0.2236,235
211,0.0471,0.0072,0.0848,0.0948,10.5263,0.0005,0.0006,0.1001,99.4475,0.2242,234
212,0.0471,0.0074,0.0847,0.0949,10.4252,0.0011,0.0012,0.1007,99.4489,0.2237,235
213,0.0472,0.0072,0.0850,0.0957,11.1618,0.0053,0.0060,0.0997,99.4470,0.2241,235
214,0.0468,0.0070,0.0843,0.0945,10.8659,0.0013,0.0025,0.0978,99.4452,0.2231,233
215,0.0469,0.0071,0.0846,0.0941,10.2319,0.0044,0.0045,0.0988,99.4464,0.2236,233
216,0.0470,0.0072,0.0849,0.0957,10.0414,0.0003,0.0005,0.0980,99.4466,0.2239,238
217,0.0468,0.0072,0.0843,0.0945,10.6604,0.0013,0.0006,0.0991,99.4471,0.2226,234
218,0.0469,0.0071,0.0847,0.0951,9.7936,0.0009,0.0020,0.0996,99.4462,0.2232,235
219,0.0468,0.0071,0.0842,0.0946,10.8785,0.0004,0.0005,0.0980,99.4464,0.2228,235
220,0.0471,0.0072,0.0849,0.0951,10.7067,0.0035,0.0031,0.0989,99.4466,0.2238,234
221,0.0470,0.0072,0.0845,0.0950,11.2855,0.0026,0.0040,0.1011,99.4467,0.2230,234
222,0.0464,0.0071,0.0837,0.0940,10.1053,0.0048,0.0057,0.0987,99.4453,0.2219,234
223,0.0468,0.0070,0.0846,0.0959,10.2483,0.0011,0.0013,0.0973,99.4443,0.2232,236
224,0.0466,0.0071,0.0840,0.0941,10.1771,0.0042,0.0094,0.0987,99.4461,0.2224,234
225,0.0466,0.0070,0.0841,0.0945,9.9197,0.0043,0.0018,0.0976,99.4448,0.2226,234
226,0.0462,0.0070,0.0835,0.0933,9.3190,0.0031,0.0030,0.0978,99.4448,0.2213,236
227,0.0463,0.0070,0.0836,0.0938,9.9247,0.0005,0.0006,0.0987,99.4448,0.2216,235
